,count,average,std,min,25%,median,75%,90%,95%,99%,99.9%,max
risk_cognitive_load,286587.0,4.14,10.38,0.0,0.0,0.0,5.0,8.562,12.572,70.105,98.155,100.0
risk_safety_score,286587.0,3.508,15.996,0.0,0.0,0.0,0.0,0.0,0.0,88.192,99.288,100.0
risk_tech_debt,286587.0,1.452,10.783,0.0,0.0,0.0,0.0,0.0,0.0,83.074,100.0,100.0
risk_verification,286587.0,0.933,6.283,0.0,0.0,0.0,0.153,2.298,2.298,2.474,80.0,80.0
risk_api_exposure,286587.0,0.239,1.383,0.0,0.0,0.0,0.0,0.0,0.0,8.187,14.227,19.951
risk_concurrency,286587.0,0.193,3.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.471,100.0
risk_state_flux,286587.0,2.521,14.943,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0
risk_dead_code,286587.0,0.121,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.457,100.0
risk_spec_match,286587.0,34.164,44.439,0.0,0.0,6.667,100.0,100.0,100.0,100.0,100.0,100.0
risk_stability,286587.0,0.391,3.654,0.0,0.0,0.0,0.0,0.0,0.527,6.271,50.0,100.0
risk_churn,286587.0,1.057,5.01,0.0,0.0,0.0,0.0,0.0,7.12,23.45,56.079,100.0
risk_documentation,286587.0,9.153,18.868,0.0,0.0,0.0,6.234,36.679,54.728,86.107,100.0,100.0
risk_tabs_vs_spaces,286587.0,39.17,44.658,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
risk_secrets_risk,286587.0,0.004,0.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
